"component","origin","license","copyright"
"@babel/code-frame","@babel/code-frame","['MIT']","['The Babel Team (https://babel.dev/team)', 'present Sebastian McKenzie and other contributors']"
"@babel/compat-data","@babel/compat-data","['MIT']","['The Babel Team (https://babel.dev/team)', 'present Sebastian McKenzie and other contributors']"
"@babel/core","@babel/core","['MIT']","['The Babel Team (https://babel.dev/team)', 'present Sebastian McKenzie and other contributors']"
"@babel/generator","@babel/generator","['MIT']","['The Babel Team (https://babel.dev/team)', 'present Sebastian McKenzie and other contributors']"
"@babel/helper-compilation-targets","@babel/helper-compilation-targets","['MIT']","['The Babel Team (https://babel.dev/team)', 'present Sebastian McKenzie and other contributors']"
"@babel/helper-globals","@babel/helper-globals","['MIT']","['The Babel Team (https://babel.dev/team)', 'present Sebastian McKenzie and other contributors']"
"@babel/helper-module-imports","@babel/helper-module-imports","['MIT']","['The Babel Team (https://babel.dev/team)', 'present Sebastian McKenzie and other contributors']"
"@babel/helper-module-transforms","@babel/helper-module-transforms","['MIT']","['The Babel Team (https://babel.dev/team)', 'present Sebastian McKenzie and other contributors']"
"@babel/helper-plugin-utils","@babel/helper-plugin-utils","['MIT']","['The Babel Team (https://babel.dev/team)', 'present Sebastian McKenzie and other contributors']"
"@babel/helper-string-parser","@babel/helper-string-parser","['MIT']","['The Babel Team (https://babel.dev/team)', 'present Sebastian McKenzie and other contributors']"
"@babel/helper-validator-identifier","@babel/helper-validator-identifier","['MIT']","['The Babel Team (https://babel.dev/team)', 'present Sebastian McKenzie and other contributors']"
"@babel/helper-validator-option","@babel/helper-validator-option","['MIT']","['The Babel Team (https://babel.dev/team)', 'present Sebastian McKenzie and other contributors']"
"@babel/helpers","@babel/helpers","['MIT']","['The Babel Team (https://babel.dev/team)', 'present Sebastian McKenzie and other contributors', 'present, Facebook, Inc. (ONLY ./src/helpers/regenerator* files)']"
"@babel/parser","@babel/parser","['MIT']","['The Babel Team (https://babel.dev/team)', 'by various contributors (see AUTHORS)']"
"@babel/plugin-syntax-async-generators","@babel/plugin-syntax-async-generators","['MIT']","['present Sebastian McKenzie and other contributors']"
